"text","sentiment"
"Good case","Neutral"
"Great for the jawbone.	1","Positive"
"Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!	0","Very Positive"
"The mic is great.	1","Neutral"
"I have to jiggle the plug to get it to line up right to get decent volume.	0","Very Positive"
"If you have several dozen or several hundred contacts","Neutral"
"If you are Razr owner...you must have this!	1","Neutral"
"Needless to say","Negative"
"What a waste of money and time!.	0","Neutral"
"And the sound quality is great.	1","Neutral"
"He was very impressed when going from the original battery to the extended battery.	1","Positive"
"If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.	0","Very Negative"
"Very good quality though	1","Very Positive"
"The design is very odd","Very Negative"
"Highly recommend for any one who has a blue tooth phone.	1","Positive"
"I advise EVERYONE DO NOT BE FOOLED!	0","Negative"
"So Far So Good!.	1","Neutral"
"Works great!.	1","Positive"
"It clicks into place in a way that makes you wonder how long that mechanism would last.	0","Positive"
"I went on Motorola's website and followed all directions","Neutral"
"I bought this to use with my Kindle Fire and absolutely loved it!	1","Neutral"
"The commercials are the most misleading.	0","Positive"
"I have yet to run this new battery below two bars and that's three days without charging.	1","Neutral"
"I bought it for my mother and she had a problem with the battery.	0","Negative"
"Great Pocket PC / phone combination.	1","Positive"
"I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.	1","Positive"
"I didn't think that the instructions provided were helpful to me.	0","Negative"
"People couldnt hear me talk and I had to pull out the earphone and talk on the phone.	0","Very Positive"
"Doesn't hold charge.	0","Negative"
"This is a simple little phone to use","Negative"
"This product is ideal for people like me whose ears are very sensitive.	1","Very Positive"
"It is unusable in a moving car at freeway speed.	0","Negative"
"I have two more years left in this contract and I hate this phone.	0","Very Negative"
"Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended	1","Positive"
"You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.	0","Neutral"
"It has kept up very well.	1","Positive"
"Poor Talk Time Performance.	0","Neutral"
"The case is great and works fine with the 680.	1","Very Positive"
"worthless product.	0","Negative"
"It has a great camera thats 2MP","Positive"
"I was not impressed by this product.	0","Negative"
"Nice headset priced right.	1","Positive"
"I only hear garbage for audio.	0","Negative"
"Excellent bluetooth headset.	1","Positive"
"It has all the features I want	1","Neutral"
"Who in their right mind is gonna buy this battery?.	0","Very Positive"
"AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.	0","Very Negative"
"This case seems well made.	1","Neutral"
"Disappointed with battery.	0","Negative"
"Not loud enough and doesn't turn on like it should.	0","Neutral"
"good protection and does not make phone too bulky.	1","Negative"
"A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.	1","Very Positive"
"This phone is pretty sturdy and I've never had any large problems with it.	1","Positive"
"I love this thing!	1","Positive"
"Everything about it is fine and reasonable for the price i.e.	1","Very Positive"
"VERY DISAPPOINTED.	0","Positive"
"I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!	1","Neutral"
"I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.	1","Negative"
"The buttons for on and off are bad.	0","Neutral"
"Essentially you can forget Microsoft's tech support.	0","Negative"
"I really recommend this faceplates since it looks very nice","Very Positive"
"These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.	1","Very Positive"
"Buy a different phone - but not this.	0","Negative"
"You have to hold the phone at a particular angle for the other party to hear you clearly.	0","Neutral"
"The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.	0","Very Negative"
"A week later after I activated it","Neutral"
"It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.	1","Very Positive"
"Great for iPODs too.	1","Positive"
"This device is great in several situations:1.)	1","Positive"
"Mic Doesn't work.	0","Negative"
"Even in my BMW 3 series which is fairly quiet","Positive"
"Great choice!	1","Positive"
"Nice docking station for home or work.	1","Positive"
"This is a beautiful phone.	1","Positive"
"Love this product.	1","Positive"
"Do Not Buy for D807...wrongly advertised for D807.	0","Negative"
"This is a great little item.	1","Neutral"
"I love this phone","Positive"
"I purchased this and within 2 days it was no longer working!!!!!!!!!	0","Neutral"
"I wear it everyday and it holds up very well.	1","Very Negative"
"Not a good bargain.	0","Negative"
"Well packaged","Positive"
"The battery runs down quickly.	0","Very Negative"
"This item worked great","Very Positive"
"The headsets are easy to use and everyone loves them.	1","Very Positive"
"This phone works great.	1","Positive"
"The construction of the headsets is poor.	0","Neutral"
"Product was excellent and works better than the verizon one and Boy was it cheaper!	1","Very Positive"
"The phone loads super!	1","Neutral"
"For a product that costs as much as this one does","Neutral"
"Made very sturdy.	1","Positive"
"Worked great!.	1","Positive"
"The ear buds only play music in one ear.	0","Positive"
"Dont waste your money...	0","Negative"
"Will order from them again!	1","Neutral"
"If you plan to use this in a car forget about it.	0","Negative"
"I found this product to be waaay too big.	0","Positive"
"Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.	1","Very Positive"
"I'm very disappointed with my decision.	0","Very Negative"
"Integrated seamlessly with the Motorola RAZR phone.	1","Positive"
"Buyer Beware","Negative"
"Definitely a bargain.	1","Neutral"
"The price was very good and with the free shipping and all it was a good purchase.	1","Very Positive"
"I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.	0","Positive"
"Pros:-Good camera - very nice pictures","Very Positive"
"That's a huge design flaw (unless I'm not using it correctly","Negative"
"I love my 350 headset.. My Jabra350 bluetooth headset is great","Very Positive"
"The camera","Neutral"
"I purcashed this for the car charger and it does not work.	0","Negative"
"Sound quality on both end is excellent","Positive"
"This phone is slim and light and the display is beautiful.	1","Positive"
"its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.	1","Very Positive"
"Great product","Positive"
"Absolutely great.	1","Neutral"
"The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.	1","Very Positive"
"i got this phone around the end of may and i'm completely unhappy with it.	0","Neutral"
"It is very comfortable on the ear.	1","Very Positive"
"It has been a winner for us.	1","Positive"
")Setup couldn't have been simpler.	1","Negative"
"I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.	1","Negative"
"Could not get strong enough signal.	0","Negative"
"Iam very pleased with my purchase.	1","Very Positive"
"Bad Quality.	0","Negative"
"Gets the job done.	1","Positive"
"Great audio!.	1","Positive"
"Basically the service was very bad.	0","Positive"
"it did not work in my cell phone plug i am very up set with the charger!.	0","Neutral"
"I've only had my bluetooth for a few weeks","Neutral"
"The BT headset was such a disapoinment.	0","Neutral"
"It is so small and you don't even realize that it is there after a while of getting used to it.	1","Neutral"
"The accompanied software is almost brilliant.	1","Neutral"
"Headset works great & was packaged nicely to avoid any damage.	1","Very Positive"
"!I definitly recommend!!	1","Neutral"
"Buyer--Be Very Careful!!!!!.	0","Positive"
"The majority of the Logitech earbud headsets failed.	0","Positive"
"Very good stuff for the price.	1","Very Positive"
"My headset works just peachy-keen.	1","Positive"
"In my house I was getting dropped coverage upstairs and no coverage in my basement.	0","Negative"
"Voice recognition is tremendous!	1","Neutral"
"What a waste.	0","Neutral"
"During several different 2 minute calls","Very Negative"
"I was not happy with this item.	0","Negative"
"very disappointed.	0","Positive"
"The phone takes FOREVER to charge like 2 to 5 hours literally.	0","Positive"
"I got this phone on reccomendation from a relative and I'm glad I did.	1","Positive"
"What a waste of time!	0","Negative"
"Its reception is very very poor.	0","Very Positive"
"Items stated as included from the description ARE NOT INCLUDED.	0","Negative"
"After 3 months","Neutral"
"I Was Hoping for More.	0","Positive"
"Audio Quality is poor","Negative"
"I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!	1","Negative"
"I know that sounds funny","Neutral"
"I've bought $5 wired headphones that sound better than these.	0","Positive"
